"parents","n","labels","id"
"Czech Republic",12," Sport","Czech Republic  -   Sport"
"Czech Republic",10," Talk Show","Czech Republic  -   Talk Show"
"Czech Republic",50," Thriller","Czech Republic  -   Thriller"
"Czech Republic",4," War","Czech Republic  -   War"
"Denmark",189," Action","Denmark  -   Action"
"Denmark",7," Adult","Denmark  -   Adult"
"Denmark",124," Adventure","Denmark  -   Adventure"
"Denmark",53," Animation","Denmark  -   Animation"
"Denmark",18," Biography","Denmark  -   Biography"
"Denmark",185," Comedy","Denmark  -   Comedy"
"Denmark",143," Crime","Denmark  -   Crime"
"Denmark",24," Documentary","Denmark  -   Documentary"
"Denmark",312," Drama","Denmark  -   Drama"
"Denmark",24," Family","Denmark  -   Family"
"Denmark",41," Fantasy","Denmark  -   Fantasy"
"Denmark",9," Game Show","Denmark  -   Game Show"
"Denmark",5," History","Denmark  -   History"
"Denmark",25," Horror","Denmark  -   Horror"
"Denmark",3," Music","Denmark  -   Music"
"Denmark",1," Musical","Denmark  -   Musical"
"Denmark",54," Mystery","Denmark  -   Mystery"
"Denmark",32," Reality TV","Denmark  -   Reality TV"
"Denmark",90," Romance","Denmark  -   Romance"
"Denmark",17," Sci Fi","Denmark  -   Sci Fi"
"Denmark",2," Short","Denmark  -   Short"
"Denmark",12," Sport","Denmark  -   Sport"
"Denmark",9," Talk Show","Denmark  -   Talk Show"
"Denmark",63," Thriller","Denmark  -   Thriller"
"Denmark",11," War","Denmark  -   War"
"Denmark",1," Western","Denmark  -   Western"
"Dominican Republic",184," Action","Dominican Republic  -   Action"
"Dominican Republic",3," Adult","Dominican Republic  -   Adult"
"Dominican Republic",116," Adventure","Dominican Republic  -   Adventure"
"Dominican Republic",54," Animation","Dominican Republic  -   Animation"
"Dominican Republic",5," Biography","Dominican Republic  -   Biography"
"Dominican Republic",156," Comedy","Dominican Republic  -   Comedy"
"Dominican Republic",119," Crime","Dominican Republic  -   Crime"
"Dominican Republic",9," Documentary","Dominican Republic  -   Documentary"
"Dominican Republic",286," Drama","Dominican Republic  -   Drama"
"Dominican Republic",20," Family","Dominican Republic  -   Family"
"Dominican Republic",32," Fantasy","Dominican Republic  -   Fantasy"
"Dominican Republic",2," Game Show","Dominican Republic  -   Game Show"
"Dominican Republic",1," History","Dominican Republic  -   History"
"Dominican Republic",30," Horror","Dominican Republic  -   Horror"
"Dominican Republic",33," Music","Dominican Republic  -   Music"
"Dominican Republic",41," Mystery","Dominican Republic  -   Mystery"
"Dominican Republic",5," Reality TV","Dominican Republic  -   Reality TV"
"Dominican Republic",86," Romance","Dominican Republic  -   Romance"
"Dominican Republic",25," Sci Fi","Dominican Republic  -   Sci Fi"
"Dominican Republic",3," Short","Dominican Republic  -   Short"
"Dominican Republic",6," Sport","Dominican Republic  -   Sport"
"Dominican Republic",5," Talk Show","Dominican Republic  -   Talk Show"
"Dominican Republic",79," Thriller","Dominican Republic  -   Thriller"
"Dominican Republic",4," War","Dominican Republic  -   War"
"Ecuador",156," Action","Ecuador  -   Action"
"Ecuador",3," Adult","Ecuador  -   Adult"
"Ecuador",125," Adventure","Ecuador  -   Adventure"
"Ecuador",71," Animation","Ecuador  -   Animation"
"Ecuador",3," Biography","Ecuador  -   Biography"
"Ecuador",203," Comedy","Ecuador  -   Comedy"
"Ecuador",94," Crime","Ecuador  -   Crime"
"Ecuador",8," Documentary","Ecuador  -   Documentary"
"Ecuador",277," Drama","Ecuador  -   Drama"
"Ecuador",17," Family","Ecuador  -   Family"
"Ecuador",26," Fantasy","Ecuador  -   Fantasy"
"Ecuador",28," Horror","Ecuador  -   Horror"
"Ecuador",32," Music","Ecuador  -   Music"
"Ecuador",37," Mystery","Ecuador  -   Mystery"
"Ecuador",5," Reality TV","Ecuador  -   Reality TV"
"Ecuador",103," Romance","Ecuador  -   Romance"
"Ecuador",22," Sci Fi","Ecuador  -   Sci Fi"
"Ecuador",7," Sport","Ecuador  -   Sport"
"Ecuador",5," Talk Show","Ecuador  -   Talk Show"
"Ecuador",68," Thriller","Ecuador  -   Thriller"
"Ecuador",3," War","Ecuador  -   War"
"Egypt",187," Action","Egypt  -   Action"
"Egypt",6," Adult","Egypt  -   Adult"
"Egypt",106," Adventure","Egypt  -   Adventure"
"Egypt",54," Animation","Egypt  -   Animation"
"Egypt",11," Biography","Egypt  -   Biography"
"Egypt",180," Comedy","Egypt  -   Comedy"
"Egypt",115," Crime","Egypt  -   Crime"
"Egypt",9," Documentary","Egypt  -   Documentary"
"Egypt",318," Drama","Egypt  -   Drama"
"Egypt",18," Family","Egypt  -   Family"
"Egypt",35," Fantasy","Egypt  -   Fantasy"
"Egypt",4," Game Show","Egypt  -   Game Show"
"Egypt",4," History","Egypt  -   History"
"Egypt",35," Horror","Egypt  -   Horror"
"Egypt",1," Music","Egypt  -   Music"
"Egypt",44," Mystery","Egypt  -   Mystery"
"Egypt",13," Reality TV","Egypt  -   Reality TV"
"Egypt",90," Romance","Egypt  -   Romance"
"Egypt",26," Sci Fi","Egypt  -   Sci Fi"
"Egypt",19," Short","Egypt  -   Short"
"Egypt",3," Sport","Egypt  -   Sport"
"Egypt",12," Talk Show","Egypt  -   Talk Show"
"Egypt",86," Thriller","Egypt  -   Thriller"
"Egypt",3," War","Egypt  -   War"
"El Salvador",149," Action","El Salvador  -   Action"
"El Salvador",3," Adult","El Salvador  -   Adult"
"El Salvador",109," Adventure","El Salvador  -   Adventure"
"El Salvador",66," Animation","El Salvador  -   Animation"
"El Salvador",2," Biography","El Salvador  -   Biography"
"El Salvador",191," Comedy","El Salvador  -   Comedy"
"El Salvador",109," Crime","El Salvador  -   Crime"
"El Salvador",7," Documentary","El Salvador  -   Documentary"
"El Salvador",295," Drama","El Salvador  -   Drama"
"El Salvador",16," Family","El Salvador  -   Family"
"El Salvador",25," Fantasy","El Salvador  -   Fantasy"
"El Salvador",25," Horror","El Salvador  -   Horror"
"El Salvador",31," Music","El Salvador  -   Music"
"El Salvador",36," Mystery","El Salvador  -   Mystery"
"El Salvador",3," Reality TV","El Salvador  -   Reality TV"
"El Salvador",109," Romance","El Salvador  -   Romance"
"El Salvador",21," Sci Fi","El Salvador  -   Sci Fi"
"El Salvador",3," Short","El Salvador  -   Short"
"El Salvador",8," Sport","El Salvador  -   Sport"
"El Salvador",5," Talk Show","El Salvador  -   Talk Show"
"El Salvador",66," Thriller","El Salvador  -   Thriller"
"El Salvador",4," War","El Salvador  -   War"
"Estonia",187," Action","Estonia  -   Action"
"Estonia",4," Adult","Estonia  -   Adult"
"Estonia",128," Adventure","Estonia  -   Adventure"
"Estonia",56," Animation","Estonia  -   Animation"
"Estonia",11," Biography","Estonia  -   Biography"
"Estonia",210," Comedy","Estonia  -   Comedy"
"Estonia",111," Crime","Estonia  -   Crime"
"Estonia",14," Documentary","Estonia  -   Documentary"
"Estonia",265," Drama","Estonia  -   Drama"
"Estonia",28," Family","Estonia  -   Family"
"Estonia",44," Fantasy","Estonia  -   Fantasy"
"Estonia",8," Game Show","Estonia  -   Game Show"
"Estonia",32," Horror","Estonia  -   Horror"
"Estonia",4," Music","Estonia  -   Music"
"Estonia",1," Musical","Estonia  -   Musical"
"Estonia",58," Mystery","Estonia  -   Mystery"
