"label","n","parent","id"
"Croatia",46,"total -  Mystery","total -  Mystery  -  Croatia"
"Croatia",25,"total -  Reality TV","total -  Reality TV  -  Croatia"
"Croatia",91,"total -  Romance","total -  Romance  -  Croatia"
"Croatia",12,"total -  Sci Fi","total -  Sci Fi  -  Croatia"
"Croatia",1,"total -  Short","total -  Short  -  Croatia"
"Croatia",14,"total -  Sport","total -  Sport  -  Croatia"
"Croatia",12,"total -  Talk Show","total -  Talk Show  -  Croatia"
"Croatia",67,"total -  Thriller","total -  Thriller  -  Croatia"
"Croatia",6,"total -  War","total -  War  -  Croatia"
"Cyprus",201,"total -  Action","total -  Action  -  Cyprus"
"Cyprus",5,"total -  Adult","total -  Adult  -  Cyprus"
"Cyprus",136,"total -  Adventure","total -  Adventure  -  Cyprus"
"Cyprus",52,"total -  Animation","total -  Animation  -  Cyprus"
"Cyprus",10,"total -  Biography","total -  Biography  -  Cyprus"
"Cyprus",195,"total -  Comedy","total -  Comedy  -  Cyprus"
"Cyprus",123,"total -  Crime","total -  Crime  -  Cyprus"
"Cyprus",15,"total -  Documentary","total -  Documentary  -  Cyprus"
"Cyprus",324,"total -  Drama","total -  Drama  -  Cyprus"
"Cyprus",31,"total -  Family","total -  Family  -  Cyprus"
"Cyprus",29,"total -  Fantasy","total -  Fantasy  -  Cyprus"
"Cyprus",8,"total -  Game Show","total -  Game Show  -  Cyprus"
"Cyprus",1,"total -  History","total -  History  -  Cyprus"
"Cyprus",28,"total -  Horror","total -  Horror  -  Cyprus"
"Cyprus",4,"total -  Music","total -  Music  -  Cyprus"
"Cyprus",49,"total -  Mystery","total -  Mystery  -  Cyprus"
"Cyprus",18,"total -  Reality TV","total -  Reality TV  -  Cyprus"
"Cyprus",88,"total -  Romance","total -  Romance  -  Cyprus"
"Cyprus",40,"total -  Sci Fi","total -  Sci Fi  -  Cyprus"
"Cyprus",5,"total -  Short","total -  Short  -  Cyprus"
"Cyprus",10,"total -  Sport","total -  Sport  -  Cyprus"
"Cyprus",11,"total -  Talk Show","total -  Talk Show  -  Cyprus"
"Cyprus",56,"total -  Thriller","total -  Thriller  -  Cyprus"
"Cyprus",8,"total -  War","total -  War  -  Cyprus"
"Czech Republic",195,"total -  Action","total -  Action  -  Czech Republic"
"Czech Republic",4,"total -  Adult","total -  Adult  -  Czech Republic"
"Czech Republic",160,"total -  Adventure","total -  Adventure  -  Czech Republic"
"Czech Republic",83,"total -  Animation","total -  Animation  -  Czech Republic"
"Czech Republic",14,"total -  Biography","total -  Biography  -  Czech Republic"
"Czech Republic",189,"total -  Comedy","total -  Comedy  -  Czech Republic"
"Czech Republic",122,"total -  Crime","total -  Crime  -  Czech Republic"
"Czech Republic",29,"total -  Documentary","total -  Documentary  -  Czech Republic"
"Czech Republic",290,"total -  Drama","total -  Drama  -  Czech Republic"
"Czech Republic",24,"total -  Family","total -  Family  -  Czech Republic"
"Czech Republic",45,"total -  Fantasy","total -  Fantasy  -  Czech Republic"
