"id","n","label","parent"
"total -  Comedy  -  Hungary",197,"Hungary","total -  Comedy"
"total -  Crime  -  Hungary",139,"Hungary","total -  Crime"
"total -  Drama  -  Hungary",307,"Hungary","total -  Drama"
"total -  Fantasy  -  Hungary",38,"Hungary","total -  Fantasy"
"total -  Horror  -  Hungary",38,"Hungary","total -  Horror"
"total -  Mystery  -  Hungary",53,"Hungary","total -  Mystery"
"total -  Romance  -  Hungary",93,"Hungary","total -  Romance"
"total -  Thriller  -  Hungary",59,"Hungary","total -  Thriller"
"total -  Action  -  Iceland",176,"Iceland","total -  Action"
"total -  Adventure  -  Iceland",130,"Iceland","total -  Adventure"
"total -  Animation  -  Iceland",49,"Iceland","total -  Animation"
"total -  Comedy  -  Iceland",199,"Iceland","total -  Comedy"
"total -  Crime  -  Iceland",126,"Iceland","total -  Crime"
"total -  Drama  -  Iceland",283,"Iceland","total -  Drama"
"total -  Mystery  -  Iceland",52,"Iceland","total -  Mystery"
"total -  Reality TV  -  Iceland",40,"Iceland","total -  Reality TV"
"total -  Romance  -  Iceland",84,"Iceland","total -  Romance"
"total -  Thriller  -  Iceland",56,"Iceland","total -  Thriller"
"total -  Action  -  India",247,"India","total -  Action"
"total -  Adventure  -  India",68,"India","total -  Adventure"
"total -  Comedy  -  India",188,"India","total -  Comedy"
"total -  Crime  -  India",194,"India","total -  Crime"
"total -  Drama  -  India",375,"India","total -  Drama"
"total -  Fantasy  -  India",43,"India","total -  Fantasy"
"total -  Horror  -  India",29,"India","total -  Horror"
"total -  Mystery  -  India",76,"India","total -  Mystery"
"total -  Romance  -  India",80,"India","total -  Romance"
"total -  Thriller  -  India",64,"India","total -  Thriller"
"total -  Action  -  Indonesia",219,"Indonesia","total -  Action"
"total -  Adventure  -  Indonesia",88,"Indonesia","total -  Adventure"
"total -  Comedy  -  Indonesia",155,"Indonesia","total -  Comedy"
"total -  Crime  -  Indonesia",111,"Indonesia","total -  Crime"
"total -  Drama  -  Indonesia",321,"Indonesia","total -  Drama"
"total -  Horror  -  Indonesia",48,"Indonesia","total -  Horror"
"total -  Mystery  -  Indonesia",72,"Indonesia","total -  Mystery"
"total -  Romance  -  Indonesia",127,"Indonesia","total -  Romance"
"total -  Sci Fi  -  Indonesia",43,"Indonesia","total -  Sci Fi"
"total -  Thriller  -  Indonesia",83,"Indonesia","total -  Thriller"
"total -  Action  -  Ireland",133,"Ireland","total -  Action"
"total -  Adventure  -  Ireland",130,"Ireland","total -  Adventure"
"total -  Animation  -  Ireland",66,"Ireland","total -  Animation"
"total -  Biography  -  Ireland",33,"Ireland","total -  Biography"
"total -  Comedy  -  Ireland",214,"Ireland","total -  Comedy"
"total -  Crime  -  Ireland",121,"Ireland","total -  Crime"
"total -  Drama  -  Ireland",280,"Ireland","total -  Drama"
"total -  Mystery  -  Ireland",37,"Ireland","total -  Mystery"
"total -  Romance  -  Ireland",87,"Ireland","total -  Romance"
"total -  Thriller  -  Ireland",59,"Ireland","total -  Thriller"
"total -  Action  -  Israel",183,"Israel","total -  Action"
"total -  Adventure  -  Israel",124,"Israel","total -  Adventure"
"total -  Animation  -  Israel",53,"Israel","total -  Animation"
"total -  Comedy  -  Israel",173,"Israel","total -  Comedy"
"total -  Crime  -  Israel",118,"Israel","total -  Crime"
"total -  Drama  -  Israel",316,"Israel","total -  Drama"
"total -  Mystery  -  Israel",37,"Israel","total -  Mystery"
"total -  Romance  -  Israel",88,"Israel","total -  Romance"
"total -  Sci Fi  -  Israel",35,"Israel","total -  Sci Fi"
"total -  Thriller  -  Israel",80,"Israel","total -  Thriller"
"total -  Action  -  Italy",173,"Italy","total -  Action"
"total -  Adventure  -  Italy",89,"Italy","total -  Adventure"
"total -  Comedy  -  Italy",172,"Italy","total -  Comedy"
"total -  Crime  -  Italy",142,"Italy","total -  Crime"
"total -  Drama  -  Italy",355,"Italy","total -  Drama"
"total -  Fantasy  -  Italy",41,"Italy","total -  Fantasy"
"total -  Horror  -  Italy",36,"Italy","total -  Horror"
"total -  Mystery  -  Italy",65,"Italy","total -  Mystery"
"total -  Romance  -  Italy",90,"Italy","total -  Romance"
"total -  Thriller  -  Italy",56,"Italy","total -  Thriller"
"total -  Action  -  Jamaica",206,"Jamaica","total -  Action"
"total -  Adventure  -  Jamaica",123,"Jamaica","total -  Adventure"
"total -  Animation  -  Jamaica",84,"Jamaica","total -  Animation"
"total -  Comedy  -  Jamaica",182,"Jamaica","total -  Comedy"
"total -  Crime  -  Jamaica",129,"Jamaica","total -  Crime"
"total -  Drama  -  Jamaica",280,"Jamaica","total -  Drama"
"total -  Fantasy  -  Jamaica",39,"Jamaica","total -  Fantasy"
"total -  Mystery  -  Jamaica",46,"Jamaica","total -  Mystery"
"total -  Romance  -  Jamaica",78,"Jamaica","total -  Romance"
"total -  Thriller  -  Jamaica",94,"Jamaica","total -  Thriller"
"total -  Action  -  Japan",229,"Japan","total -  Action"
"total -  Adventure  -  Japan",154,"Japan","total -  Adventure"
"total -  Animation  -  Japan",96,"Japan","total -  Animation"
"total -  Comedy  -  Japan",164,"Japan","total -  Comedy"
"total -  Crime  -  Japan",68,"Japan","total -  Crime"
"total -  Drama  -  Japan",284,"Japan","total -  Drama"
"total -  Horror  -  Japan",38,"Japan","total -  Horror"
"total -  Mystery  -  Japan",40,"Japan","total -  Mystery"
"total -  Romance  -  Japan",180,"Japan","total -  Romance"
"total -  Thriller  -  Japan",66,"Japan","total -  Thriller"
"total -  Action  -  Jordan",198,"Jordan","total -  Action"
"total -  Adventure  -  Jordan",97,"Jordan","total -  Adventure"
"total -  Animation  -  Jordan",116,"Jordan","total -  Animation"
"total -  Comedy  -  Jordan",236,"Jordan","total -  Comedy"
